,Date,Name,Price,RSI,MarketCap,Volume,URL
62,20200820,bitcoin-cash,294.79,52.911965713022845,"$5,502,723,431 USD","$1,247,915,130 USD",https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/?start=20200501&end=20200820
114,20200820,vechain,0.019396,52.989943616760684,"$1,090,361,417 USD","$199,638,583 USD",https://coinmarketcap.com/currencies/vechain/historical-data/?start=20200501&end=20200820
93,20200820,covesting,0.413571,52.99945247695125,"$7,184,082 USD","$45,556.18 USD",https://coinmarketcap.com/currencies/covesting/historical-data/?start=20200501&end=20200820
75,20200820,spendcoin,0.00468,53.06470986762488,"$10,580,303 USD","$460,720 USD",https://coinmarketcap.com/currencies/spendcoin/historical-data/?start=20200501&end=20200820
4,20200820,compound,179.95,53.087355722985244,"$445,727,097 USD","$74,208,780 USD",https://coinmarketcap.com/currencies/compound/historical-data/?start=20200501&end=20200820
27,20200820,milk-alliance,0.21806199999999998,53.20834931851789,No Data,"$2,945,201 USD",https://coinmarketcap.com/currencies/milk-alliance/historical-data/?start=20200501&end=20200820
204,20200820,kyber-network,1.72,53.55460948499494,"$373,942,357 USD","$121,915,650 USD",https://coinmarketcap.com/currencies/kyber-network/historical-data/?start=20200501&end=20200820
28,20200820,dash,91.58,53.56247787930161,"$877,485,190 USD","$203,958,744 USD",https://coinmarketcap.com/currencies/dash/historical-data/?start=20200501&end=20200820
194,20200820,datx,0.000337,53.69184070544262,"$463,895 USD","$307,435 USD",https://coinmarketcap.com/currencies/datx/historical-data/?start=20200501&end=20200820
90,20200820,oneledger,0.012412000000000001,53.71678472335074,"$4,754,382 USD","$328,689 USD",https://coinmarketcap.com/currencies/oneledger/historical-data/?start=20200501&end=20200820
47,20200820,request,0.043213,53.718927252161215,"$34,423,274 USD","$539,187 USD",https://coinmarketcap.com/currencies/request/historical-data/?start=20200501&end=20200820
81,20200820,power-ledger,0.103024,53.75472874921606,"$45,714,217 USD","$2,588,711 USD",https://coinmarketcap.com/currencies/power-ledger/historical-data/?start=20200501&end=20200820
146,20200820,crypto-com-coin,0.163681,53.863849889525405,"$3,106,611,570 USD","$64,256,930 USD",https://coinmarketcap.com/currencies/crypto-com-coin/historical-data/?start=20200501&end=20200820
96,20200820,plutusdefi,0.297698,53.88737107269435,"$5,772,348 USD","$4,466,447 USD",https://coinmarketcap.com/currencies/plutusdefi/historical-data/?start=20200501&end=20200820
176,20200820,wink-tronbet,0.00011100000000000001,54.05378515932393,"$34,920,240 USD","$1,848,034 USD",https://coinmarketcap.com/currencies/wink-tronbet/historical-data/?start=20200501&end=20200820
159,20200820,dent,0.000304,54.28899403328538,"$25,141,773 USD","$505,895 USD",https://coinmarketcap.com/currencies/dent/historical-data/?start=20200501&end=20200820
15,20200820,paybx,0.005809,54.82363858423386,"$1,627,385 USD","$59,350.65 USD",https://coinmarketcap.com/currencies/paybx/historical-data/?start=20200501&end=20200820
162,20200820,electroneum,0.005919,54.837155115903485,"$60,386,924 USD","$365,902 USD",https://coinmarketcap.com/currencies/electroneum/historical-data/?start=20200501&end=20200820
148,20200820,stellar,0.107175,54.88924131465093,"$2,196,848,115 USD","$214,258,906 USD",https://coinmarketcap.com/currencies/stellar/historical-data/?start=20200501&end=20200820
50,20200820,gochain,0.013550999999999999,54.89792313900163,"$13,759,577 USD","$1,104,063 USD",https://coinmarketcap.com/currencies/gochain/historical-data/?start=20200501&end=20200820
1,20200820,tokoin,0.02501,55.05041965657634,"$4,183,138 USD","$255,150 USD",https://coinmarketcap.com/currencies/tokoin/historical-data/?start=20200501&end=20200820
35,20200820,enjin-coin,0.20855700000000002,55.06438060179133,"$176,828,951 USD","$14,980,208 USD",https://coinmarketcap.com/currencies/enjin-coin/historical-data/?start=20200501&end=20200820
54,20200820,roobee,0.004733,55.590630302504174,"$9,079,931 USD","$991,900 USD",https://coinmarketcap.com/currencies/roobee/historical-data/?start=20200501&end=20200820
133,20200820,lockchain,0.465634,55.63013424320045,"$7,162,313 USD","$195,271 USD",https://coinmarketcap.com/currencies/lockchain/historical-data/?start=20200501&end=20200820
92,20200820,rsk-infrastructure-framework,0.096716,55.63289421320502,"$60,607,460 USD","$471,411 USD",https://coinmarketcap.com/currencies/rsk-infrastructure-framework/historical-data/?start=20200501&end=20200820
201,20200820,tezos,3.85,55.66973189448189,"$2,822,700,871 USD","$306,296,326 USD",https://coinmarketcap.com/currencies/tezos/historical-data/?start=20200501&end=20200820
97,20200820,cargox,0.018462,55.68723185640424,"$2,820,809 USD","$17,996.98 USD",https://coinmarketcap.com/currencies/cargox/historical-data/?start=20200501&end=20200820
156,20200820,pivx,0.5102899999999999,55.72650046680142,"$29,142,183 USD","$562,543 USD",https://coinmarketcap.com/currencies/pivx/historical-data/?start=20200501&end=20200820
